Weight,Balance,Swing Weight
83.8,295,85
83.1,301,85.5
81.6,294,82.5
84.6,299,86
84.1,288,83.5
85.2,304,86
85.8,296,85.5
85.8,296,84.5
86.7,295,85
81.4,298,84
81.8,302,85.5
84,296,84
84.5,295,85
86.1,294,86
86.8,298,87.5
83.4,299,84.5
79.6,318,86
85.6,298,84.5
85.5,300,84.5
89,304,92
87.1,300,88.5
83.1,303,86.5
83.8,301,87
82.2,303,85.5
87.9,306,90
85.4,294,86
84.9,305,90
86,296,86.5
87.5,300,89
87.3,297,88
86.4,302,89.5
86.8,282,84
83.4,292,82
83.5,293,83.5
85.1,292,85
84.5,299,88
78.7,300,82
75.8,304,81
84.1,291,84
82.4,290,83
87.9,306,90
82.2,303,85.5
85.5,289,86
84.4,291,85
84.3,291,85
80.6,294,82.5
78.8,295,82.5
84.1,288,82.5
85.2,303,88
85.2,293,83.5
86,291,83.5
75.4,317,85.5
88.1,307,92.5
81.2,292,81.5
90.1,302,91.5
91,303,91.5
80,314,85
92.7,298,93.5
79.6,306,84
88.5,290,88.5
88.2,294,89.5
92.6,298,93.5
86.2,286,85
88.5,295,90
84.1,291,84
85.4,294,86
87.9,294,87
84.6,306,87
88.1,286,87
85.3,295,83.5
84.7,295,87
79.9,293,82
80.9,294,83
86.1,294,86.5
85.6,296,86.5
85.4,300,87.5
82.4,294,83.5
86.4,289,86.5
86.3,293,88
85.6,293,86
85,295,86.5
86.5,297,88
90.4,297,89.5
88,298,89
86.4,299,87.5
87.1,305,90
87.2,298,88
87.6,306,91
87.5,306,90
87.2,299,88
87.2,308,90.5
89.8,299,90
87.5,306,90.5
83.2,293,82.5
81.2,292,80.5
84.1,299,85.5
83.8,297,84.5
83.8,298,85
83.9,298,85
90,292,90.5
80.9,309,85.5
84.1,298,86
78.1,302,82.5
83.4,292,81.5
89,292,87
83.9,282,82
84.1,288,85
86.1,299,88
84.9,289,84.5
85.4,305,88
69,308,77
81.9,292,82
84.4,292,82.5
86.5,299,87.5
86.6,297,87
86.5,302,89.5
88.3,296,88.5
89.1,305,92
89.6,295,88.5
88.9,304,91
88.6,294,86
70.8,309,78
79.2,308,84.5
80.7,304,84
86.2,284,85.5
86.4,304,91
91.8,289,87
84.7,290,83.5
85,295,85
87.6,296,90
86.4,295,87
74.2,313,82
73.5,316,79.5
84.5,293,83
86.1,294,88.5
86.5,292,88.5
78.9,297,82
78.8,303,84.5
73.9,314,82
73.7,308,80
89.9,297,89.5
91.9,293,90
89.6,302,92
77.3,299,79.5
79.2,294,80
84.8,298,86
85.9,292,85.5
83.2,299,85.5
81.8,298,83.5
84.6,288,83.5
78.9,302,82
77.2,300,82
82,309,86
84.9,305,90
84.8,295,85.5
83.6,285,82.5
81.8,290,81.5
86.4,292,86.5
86.2,293,87
81,297,83.5
87,290,86
85.9,296,88
86.8,304,87.5
83.8,293,83.5
85.8,298,86.5
79.1,298,82
85.3,300,86
85.3,297,85
84.3,287,82
85.1,298,88
88.6,301,90
88,305,90
83.3,295,83.5
82.4,298,84
84.3,307,88.5
84.2,301,87
79.1,298,81
80.7,304,84
80.1,295,79.5
84.2,291,84.5
86.7,291,86
85.9,289,85
85.3,299,87.5
83.4,297,85
85.6,290,85
86.1,308,88
84.2,299,85.5
76.4,319,87
83.6,299,85
83.2,304,85.5
83.5,301,85.5
65.4,322,76.5
75.5,316,83.5
79.7,304,84.5
69.6,309,77
84.1,294,84
87.2,302,88
80.6,295,81
79.4,307,83.5
81.8,296,82
80.3,294,80.5
83.7,287,83.5
84.9,289,84.5
77,311,83
77.3,309,83
84.1,291,84.5
84.2,293,85
82.4,295,84.5
77.7,299,81
88.5,295,89.5
84.8,293,85.5
88.2,295,87.5
85.2,299,87
84.1,294,85
86.4,299,88
86.6,298,88
85.5,298,87.5
84.5,297,86
83.7,288,82.5
85.3,287,83.5
84.6,282,83
87.2,291,86.5
83.2,289,82
84.8,310,90
76.1,301,79.5
81,301,83.5
77.5,297,79.5
78.9,300,80.5
81.5,312,85.5
81,301,83.5
77.5,297,79.5
78.9,300,80.5
81.5,312,85.5
81.5,309,87
81.4,289,83
82,303,85
86.9,290,86
82.9,294,84.5
83.9,295,84.5
87.1,294,88
86.9,289,87
84.4,296,86
82.2,308,86.5
82.4,299,82
87.3,302,87.5
88,300,89
83.2,297,84.5
83.7,296,84
88,301,87
85.4,295,85
84.8,310,89
82.7,299,85
84,307,88.5
83.4,297,85
78.7,288,78.5
83.2,292,81
86,293,85.5
87.5,298,86.5
85.4,290,84
83.9,300,85
83.5,286,81.5
84.1,287,83.5
82.9,288,81
79.4,298,82
82.8,297,83
83.4,298,82.5
83.3,295,83
78.2,295,81
85.9,297,85.5
87.4,298,87
90.1,296,89
87.4,290,84
88.9,298,90
81.2,311,87.5
80.4,303,84
82.4,291,82
84.2,294,82
82.7,298,83.5
83.6,299,85.5
83.4,298,84
78.7,315,84
78.9,305,82.5
79.5,315,86.5
81.6,303,84
82.5,311,37
85,296,85
86.7,298,87.5
88.4,303,90.5
86.8,298,84.5
84.9,296,85.5
83.4,294,84
83,295,83.5
85.3,287,79.5
76.5,300,77.5
82.3,302,82
81.3,291,77.5
85.3,287,79.5
76.5,300,77.5
82.3,302,82
81.3,291,77.5
